Project No.;Deposit No.;Company Name;Project Name;Location;Continent;" Status (2022), 1: Exploration/ Define resource; 2: Feasibility/ Pre-feasibility; 3: Construction; 4: Production; S: Suspending mining; T: Test of Metallurgical; D: Development licence; N: Not Use";Deposit type;Resource (*10^4 t, REO, Total);Grade (wt. %);La2O3;Ce2O3;Pr6O11;Nd2O3;Sm2O3;Eu2O3;Gd2O3;Tb4O7;Dy2O3;Ho2O3;Er2O3;Tm2O3;Yb2O3;Lu2O3;Y2O3;HREE percentage;REE pattern Ref.;Project and status Ref.;Deposit type Ref.;Resource and grade Ref.;
11;11;Tanbreez Mining Greenland AS;Tanbreez/Kringlerne;Kujalleq, Greenland;Greenland;2, D(2020);Alkaline rock;2900;0,617;17,73700306;33,18042813;3,211009174;12,2324159;2,293577982;0,305810398;2,599388379;0,458715596;2,905198777;0,611620795;2,44648318;0,305810398;1,987767584;0,305810398;19,41896024;31,03975535;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;"https://news.91jinshu.com/xitu/202008/19078.html; http://tanbreez.com/en/construction-phase/";"https://news.91jinshu.com/xitu/202008/19078.html; http://tanbreez.com/en/construction-phase/";Tanbreez Mining Greenland AS, Presentation at PDAC March 2018;
12;12;Leading Edge Materials;Norra Kärr;Gränna, south central sweden;Europe;2;Alkaline rock;20,3;0,55;9,983079526;22,50423012;2,876480541;11,33671743;3,045685279;0,338409475;3,214890017;0,676818951;4,230118443;0,846023689;2,876480541;0,507614213;2,707275804;0,338409475;34,5177665;49,91539763;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;"Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.
https://leadingedgematerials.com/norra-karr/";"Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.
https://leadingedgematerials.com/norra-karr/";GBM, Amended & Restated Prefeasibility Study-NI 43-101-Technical report for the Norra Kärr Rare Earth Element Deposit, 2015, https://leadingedgematerials.com/wp-content/uploads/2016/08/Norra-Karr_PFS_43-101-.pdf;
13;13;;Olserum;south central sweden;Europe;T;Hydrothermal/IOCG;4,78;0,61;13,51791531;30,78175896;3,745928339;14,65798046;3,42019544;0,16286645;3,42019544;0,651465798;3,42019544;0,651465798;1,954397394;0,325732899;1,791530945;0,325732899;21,17263844;33,71335505;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;Geological Survey of Sweden, United Nations Framework Classification for Resources Case Study: Rare Earth Elements, Exploration Prospects and Secondary Resourcesin Sweden, https://unece.org/sites/default/files/2022-05/ECE_ENERGY_GE.3_2022_12.pdf;Geological Survey of Sweden, United Nations Framework Classification for Resources Case Study: Rare Earth Elements, Exploration Prospects and Secondary Resourcesin Sweden, https://unece.org/sites/default/files/2022-05/ECE_ENERGY_GE.3_2022_12.pdf;Geological Survey of Sweden, United Nations Framework Classification for Resources Case Study: Rare Earth Elements, Exploration Prospects and Secondary Resourcesin Sweden, https://unece.org/sites/default/files/2022-05/ECE_ENERGY_GE.3_2022_12.pdf;
14;14;REE Minerals Holding AS;Fen;southern norway;Europe;1;Carbonatite;437;0,9;26,20441933;47,61363235;5,302853069;15,88240584;1,633985051;0,345981751;0,669559864;0,069394549;0,312185858;0,056515052;0,1575306;0,021067539;0,139365325;0,020142954;1,570960865;3,016722605;MARIEN et al., 2018;Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.;Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.;Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.;
15;15;AMR Mineral Metal Inc;Aksu Diamas;Eastern Turkey;Asia;1;Placer;49,5;0,1;26,08695652;44,92753623;4,347826087;14,49275362;1,449275362;0;1,449275362;0;1,449275362;0;0;0;0;0;5,797101449;8,695652174;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;Deady, E., Lacinska, A., Goodenough, K. M., Shaw, R. A., & Roberts, N. M. (2019). Volcanic-derived placers as a potential resource of rare earth elements: the Aksu Diamas case study, Turkey. Minerals, 9(4), 208.;Deady, E., Lacinska, A., Goodenough, K. M., Shaw, R. A., & Roberts, N. M. (2019). Volcanic-derived placers as a potential resource of rare earth elements: the Aksu Diamas case study, Turkey. Minerals, 9(4), 208.;Balomenos, E., Davris, P., Deady, E., Yang, J., Panias, D., Friedrich, B., ... & Paspaliaris, I. (2017). The EURARE project: Development of a sustainable exploitation scheme for Europe’s Rare Earth Ore deposits. Johnson Matthey Technology Review, 61(2), 142-153.;
16;16;Vital Metals;Nechalacho/Thor Lak;Thor lake, Canada;North America;4;Alkaline rock;138,7;1,464;17,41038771;40,01463058;4,901243599;19,23920995;3,730797366;0,438917337;2,999268471;0,365764448;1,755669349;0,292611558;0,731528895;0,07315289;0,585223116;0,07315289;7,388441843;14,26481346;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;http://www.cre-ol.com/newsitem/278403394;Timofeev, A., & Williams-Jones, A. E. (2015). The origin of niobium and tantalum mineralization in the Nechalacho REE Deposit, NWT, Canada. Economic Geology, 110(7), 1719-1735.;Vital Metals Limited, 2019, https://vitalmetals.com.au/resources/;
17;17;;Wigu Hill;Morogoro Region, Tanzania;Africa;D;Carbonatite;8,58;2,6;38,33017078;48,57685009;3,605313093;8,538899431;0,493358634;0,113851992;0,151802657;0,018975332;0,037950664;0;0;0;0;0;0,132827324;0,341555977;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://vitalmetals.com.au/portfolio/wigu-hill-project/;https://vitalmetals.com.au/portfolio/wigu-hill-project/;Vital Metals Limited, https://vitalmetals.com.au/portfolio/wigu-hill-project/;
18;18;;Kipawa (Zeus);Zeus property, Canada;North America;S;Alkaline rock;10,65;0,39;14,32;29,1;3,56;13,4;3;0,37;2,9;0,54;3,58;0,78;2,46;0,39;2,34;0,32;22,97;36,28;Roche NI 43-101 Report, 2013;https://www.dropbox.com/s/tgzcn597zjil9z8/061623.003-FinRep_Matamec-NI43-101-20131017-001-Appen.pdf?dl=0;https://www.dropbox.com/s/tgzcn597zjil9z8/061623.003-FinRep_Matamec-NI43-101-20131017-001-Appen.pdf?dl=0;ROCHE, GENIVR, and Golder Associates, Feasibility study for the kipawa projects, Temiscamingue area, Québec, Canada, 2013;
19;19;Peak Resources;Ngualla;southern Tanzania;Africa;C(2022);Carbonatite;462;2,15;27,08631378;48,18788746;4,816404387;16,28516929;1,669051025;0,357653791;0,762994754;0,071530758;0,166905103;0,023843586;0,071530758;0;0,023843586;0;0,476871722;1,597520267;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://peakrareearths.com/ngualla-project/;Witt, W. K., Hammond, D. P., & Hughes, M. (2019). Geology of the Ngualla carbonatite complex, Tanzania, and origin of the Weathered Bastnaesite Zone REE ore. Ore Geology Reviews, 105, 28-54.;https://peakrareearths.com/ngualla-project/;
20;20;Namibia Critical Metals Inc.;Lofda;northwest of Horixas town, Namibia;Africa;1;Carbonatite;9,08;0,17;3,529411765;6,554621849;0,672268908;2,68907563;1,176470588;1,008403361;4,369747899;1,176470588;8,067226891;1,848739496;5,210084034;0,840336134;4,87394958;0,672268908;57,31092437;84,3697479;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://www.chinascrap.com/news/detail?id=93891；NI 43-101 Technical Report – NMI Lofdal Heavy Rare Earth Project Namibia;;https://www.namibiacriticalmetals.com/projects/lofdal-heavy-rare-earths-project;
